prot	pheno	estimate	has_direction
GZMA	PRL	0.143464255844107	FALSE
LH	CCDC80	0.125708677612994	TRUE
FAM3C	PRL	0.159779713711663	FALSE
CSF3	FSH	-0.167496878107865	TRUE
FSH	CSF3	-0.167496878107865	TRUE
TNFRSF14	PRL	0.136632340433474	FALSE
EGLN1	PROG	0.138818596325743	FALSE
CRHBP	PRL	0.152009966142654	FALSE
IGFBP2	FSH	0.123175313647719	FALSE
PTPRF	PRL	0.159128664925767	FALSE
ESM1	PRL	0.122660471686217	FALSE
CD59	PRL	0.150447806242258	FALSE
IL17A	PROG	0.150228439442377	FALSE
SPON2	17BES	0.142847391519322	FALSE
PROG	BTN2A1	-0.132338447986453	TRUE
LH	BLMH	-0.0897175747243536	TRUE
QPCT	PRL	0.126198611198339	TRUE
SPON2	PRL	0.153835849337296	FALSE
PROG	MATN2	-0.149637042338996	TRUE
FST	PROG	0.167995317172905	FALSE
PLAUR	PRL	0.135388773751682	FALSE
NELL2	LH	-0.0812086468358007	FALSE
B4GALT1	LH	0.136811929572526	TRUE
LCN2	17BES	0.104542447733983	FALSE
FSH	TNFSF10	0.131407286764983	TRUE
TLR3	LH	0.0430735107044127	FALSE
RNASE3	PRL	0.120315955888597	FALSE
AK1	FSH	-0.119673388380433	FALSE
FCRL1	PRL	0.150881261562448	TRUE
PRL	FCRL1	0.150881261562448	TRUE
PROG	EPHA1	-0.15207755573276	TRUE
TIMP1	PROG	0.148692183994672	FALSE
PROG	THPO	0.141564635728931	TRUE
TSHB	PRL	0.127397754439654	FALSE
PROG	PLXNB2	0.130166359194688	TRUE
CEBPB	FSH	-0.160721607146072	FALSE
CANT1	PRL	0.144099772277966	FALSE
ENTPD6	LH	0.116301384163796	FALSE
S100A11	PROG	0.163977257767499	FALSE
FETUB	FSH	-0.124161300272672	FALSE
NECTIN2	PRL	0.137266499779017	FALSE
FSH	RETN	-0.0990558294560472	TRUE
PROG	CCL16	-0.101665914680974	TRUE
CKAP4	PRL	0.139270648668783	FALSE
PROG	ISM1	-0.139844154785986	TRUE
CLC	PROG	0.113161956302595	FALSE
PROG	ENTPD5	0.136394696956981	TRUE
TLR3	17BES	0.0404267868475035	FALSE
EGFR	LH	-0.116781532342927	FALSE
TNFRSF13B	LH	0.100045373624003	FALSE
ACY1	ALT	0.538787825543131	FALSE
ADH4	ALT	0.504942329434313	TRUE
ACY1	AST	0.462123916363068	FALSE
AGXT	ALT	0.429520804257492	TRUE
ALT	AGXT	0.429520804257492	TRUE
ALT	GSTA1	0.446395917753232	TRUE
GSTA1	AST	0.442573251765642	FALSE
LDLR	TRI	0.371727206062328	FALSE
ADH4	AST	0.414186923958479	FALSE
KYNU	AST	0.407235062479079	FALSE
KYNU	ALT	0.386539347112984	FALSE
HDL	PLTP	0.435852331778563	TRUE
APOM	HDL	0.434060250770191	TRUE
HDL	APOM	0.434060250770191	TRUE
COL	APOM	0.415653074489713	TRUE
AGXT	AST	0.353503376982668	FALSE
AGRP	TRI	0.280768071100268	FALSE
HOMA_IR	IGFBP1	-0.26232548887903	TRUE
IGFBP1	INS	-0.260317339475208	FALSE
COL	PLTP	0.343012835793193	TRUE
DDC	AST	0.254072266272187	FALSE
GPR37	TRI	0.226963962430795	FALSE
IGFBP1	HOMA_B	-0.21410288129027	TRUE
APOM	LDL	0.287465143242544	FALSE
COL	LDLR	0.269975203436296	TRUE
TFPI	LDL	0.251911913345142	TRUE
ADH4	COL	0.269711676244892	FALSE
TRI	HSD11B1	0.203252219294964	TRUE
DCTPP1	AST	0.2056794891291	FALSE
MEGF9	COL	0.264652856301003	TRUE
GDF2	COL	0.261214935145738	FALSE
TFPI	COL	0.247532174864955	FALSE
THOP1	ALT	0.200531676864438	FALSE
HDL	FIS1	0.179720346662903	TRUE
PCSK9	HOMA_IR	0.213135869169542	FALSE
GDF2	HDL	0.267032716851832	FALSE
ERBB3	COL	0.248034034920978	FALSE
FABP1	AST	0.226658243990982	FALSE
MVK	ALT	0.171857835161881	FALSE
BPIFB1	HDL	0.217098661664089	FALSE
PCSK9	INS	0.21200801537344	FALSE
DDC	ALT	0.180678668637834	FALSE
FAM3C	HOMA_IR	0.191774750228633	FALSE
IGFBP2	HOMA_B	-0.153785264631578	FALSE
CA3	AST	0.217060830825729	FALSE
SSC5D	COL	0.200028778070027	FALSE
PROK1	HOMA_IR	0.161658529643866	FALSE
EGFR	COL	0.238190840630178	FALSE
DNER	COL	0.234951318095015	FALSE
SCGB3A2	TRI	-0.142659725058484	FALSE
FAM3C	INS	0.184795589792583	FALSE
AST	IL32	0.170538878032001	TRUE
LDL	CHI3L1	-0.210927269971922	TRUE
ESM1	COL	-0.208461359629837	FALSE
SCGB3A2	HOMA_IR	-0.120257510690326	FALSE
IGFBP2	INS	-0.145279187636695	FALSE
COL	CDON	0.212350751666396	TRUE
ESM1	LDL	-0.19909300483575	FALSE
DKK3	LDL	-0.214600071370257	FALSE
GSTA1	COL	0.234224836008925	FALSE
LDLR	LDL	0.209989384701832	TRUE
FABP1	ALT	0.199995553040356	TRUE
IGFBP2	HOMA_IR	-0.140510641199366	FALSE
QDPR	AST	0.159180228985481	FALSE
GAL	HDL	0.212691874543003	FALSE
ANPEP	COL	0.215973391118871	FALSE
OSM	GL	-0.164159980279349	FALSE
TREM2	COL	0.17904701354367	FALSE
ADGRG2	COL	0.20713309639614	FALSE
NRP1	TRI	-0.167297179894212	FALSE
LEP	HOMA_IR	0.101763212220693	TRUE
PROK1	INS	0.148369359783767	FALSE
THOP1	AST	0.176016703522433	FALSE
GAS6	LDL	-0.20754539627707	FALSE
ZBTB17	AST	0.179561554823557	FALSE
ERBB3	LDL	0.214315494767801	FALSE
SCGB3A2	INS	-0.112341286652271	FALSE
FAP	HDL	0.207429327969712	FALSE
LEP	INS	0.100710892878543	TRUE
PROK1	GL	0.145293172560507	TRUE
LEP	AST	-0.125183904507627	FALSE
SSC4D	LDL	0.106121004251338	FALSE
ACY1	COL	0.207853854525014	FALSE
LDL	PLTP	0.202682625315601	TRUE
SSC4D	COL	0.112671041943676	FALSE
ADAM15	AST	0.163108863168824	FALSE
GH1	TRI	-0.182989469637222	FALSE
ITGB2	AST	0.165519352027947	FALSE
GAL	COL	0.186776011230436	FALSE
TSHB	TRI	0.158941616272848	FALSE
LRRN1	LDL	0.172403562682854	FALSE
CD4	TRI	0.177888275853321	FALSE
HYAL1	HOMA_B	0.179833311539545	TRUE
DKK3	COL	-0.199914626309446	FALSE
TGFA	COL	-0.213300250586736	FALSE
LDL	MMP1	-0.190150224913922	TRUE
CLEC4A	HDL	0.198870307039307	FALSE
TGFA	LDL	-0.213181176039343	FALSE
COL	PROC	0.211958715965353	TRUE
HOMA_IR	TYRO3	0.122378656148832	TRUE
MLN	TRI	0.131038573446076	FALSE
MEGF9	LDL	0.206409857813776	TRUE
LDL	MEGF9	0.206409857813776	TRUE
ALT	IL32	0.148307301950475	TRUE
SIT1	HDL	-0.20966355491719	FALSE
EPHA1	AST	-0.185247744537844	FALSE
FAP	COL	0.181262674595495	TRUE
MVK	GL	0.127872850760976	FALSE
HYAL1	INS	0.173585026725903	FALSE
LILRB4	TRI	0.157821847774701	TRUE
TRI	LILRB4	0.157821847774701	TRUE
EGFR	LDL	0.199422182265519	FALSE
COL	MMP1	-0.188785939783866	TRUE
PCSK9	TRI	0.181749483845711	FALSE
HYAL1	HOMA_IR	0.171795423486533	TRUE
CLUL1	HDL	0.131487975915894	TRUE
HDL	CLUL1	0.131487975915894	TRUE
INS	TYRO3	0.119269445986346	TRUE
HOMA_B	APLP1	-0.13564246268446	TRUE
QDPR	ALT	0.135454372062985	FALSE
LRRN1	COL	0.169280230660536	FALSE
PLAUR	COL	-0.188493623211359	FALSE
IL18	HOMA_IR	0.110954826068633	FALSE
FETUB	INS	0.143441987665421	TRUE
INS	FETUB	0.143441987665421	TRUE
GHRL	HOMA_IR	-0.0960046071740506	FALSE
SPON2	LDL	-0.199588997274629	TRUE
ADH4	LDL	0.193555643636596	TRUE
SMPDL3A	COL	0.149667713098407	FALSE
IL18	INS	0.110266273543449	FALSE
ADGRG2	LDL	0.178250267604811	FALSE
RARRES2	TRI	0.143092348673144	TRUE
TRI	RARRES2	0.143092348673144	TRUE
FETUB	HOMA_IR	0.141927293219121	TRUE
HOMA_IR	FETUB	0.141927293219121	TRUE
IGFBP1	TRI	-0.155083169906376	TRUE
SCGB3A2	HDL	0.171111859207751	FALSE
EPO	LDL	-0.15490310609115	FALSE
CSF1	COL	-0.20238735266788	FALSE
AGRP	COL	0.175022800163841	TRUE
IL6	COL	-0.193642654769182	FALSE
HOMA_IR	PRCP	0.119659843373331	TRUE
SMPDL3A	AST	-0.116721300024223	FALSE
PCSK9	HOMA_B	0.162976622686289	TRUE
EPO	COL	-0.160989697778471	FALSE
MVK	AST	0.135168150175412	TRUE
F7	HOMA_IR	0.141639348106935	TRUE
HOMA_IR	F7	0.141639348106935	TRUE
GHRL	INS	-0.0938556470980996	FALSE
FGF19	LDL	0.190713232051042	FALSE
KYAT1	ALT	0.137745761101484	FALSE
SPP1	COL	-0.160937914745543	FALSE
COL	GAS6	-0.185712520813391	TRUE
SIRPB1	COL	-0.158241826564551	TRUE
CLUL1	COL	0.113055497069866	TRUE
COL	CLUL1	0.113055497069866	TRUE
ANG	GL	0.139513645302949	FALSE
TIMP3	GL	0.114351784213622	FALSE
GDF2	LDL	0.187150566389394	FALSE
EPHA1	TRI	0.161729487010324	FALSE
TREM2	LDL	0.144858706859497	FALSE
DNER	HDL	0.196100191906075	FALSE
TIA1	HDL	0.176508244875443	TRUE
FLT3LG	AST	0.143652232296031	FALSE
COL	AOC3	0.179568912683293	TRUE
DPT	AST	0.144364583467013	FALSE
IL18BP	COL	-0.192727074175949	FALSE
CDHR5	INS	0.0883652008101561	TRUE
INS	CDHR5	0.0883652008101561	TRUE
SIRPB1	LDL	-0.148899258980067	FALSE
IL6	LDL	-0.188595930750123	FALSE
LHPP	AST	0.146762048397591	FALSE
ENPP5	LDL	0.117766015647102	FALSE
CD83	AST	0.156109059194535	TRUE
INS	PRCP	0.115408820020033	TRUE
CNDP1	GL	0.0995455205668567	TRUE
TNFRSF10C	TRI	0.106916802529228	FALSE
GAS6	AST	0.153138815109593	FALSE
PON2	HOMA_B	0.0935922527672504	FALSE
RARRES2	INS	0.123506646488874	TRUE
INS	RARRES2	0.123506646488874	TRUE
CHRDL2	LDL	-0.176342587838209	FALSE
KYAT1	AST	0.135326776331806	TRUE
ISM1	TRI	0.151809437189689	FALSE
CCL25	GL	0.0986901852966443	FALSE
CNST	HDL	0.147988194159297	TRUE
HDL	CNST	0.147988194159297	TRUE
INS	HOMA_IR	0.987721057462826	FALSE
COL	LDL	0.832943178271169	TRUE
LDL	COL	0.832943178271169	TRUE
INS	HOMA_B	0.825984572413682	FALSE
HOMA_B	HOMA_IR	0.730315669121114	FALSE
FSH	LH	0.656145360014596	FALSE
AST	ALT	0.619782990065884	FALSE
HDL	COL	0.543753801306355	TRUE
HOMA_IR	GL	0.419625292043172	FALSE
PRL	INS	0.364990538980368	TRUE
PRL	HOMA_IR	0.346758383648091	TRUE
PRL	HOMA_B	0.340316897073078	FALSE
INS	GL	0.293311177988988	FALSE
HOMA_B	GL	-0.279646734719726	FALSE
PRL	LH	0.257495096978957	TRUE
17BES	PROG	0.211492425068449	TRUE
17BES	LH	0.245854850362587	TRUE
LH	17BES	0.245854850362587	TRUE
INS	PROG	0.176043406372259	TRUE
HOMA_IR	PROG	0.171661410663779	TRUE
PRL	FSH	0.188855894891559	TRUE
PROG	HOMA_B	0.15616825347287	FALSE
LH	INS	0.174148373255114	FALSE
LH	HOMA_B	0.173251980072942	FALSE
FSH	HOMA_IR	0.169608321241801	FALSE
FSH	INS	0.169562716372761	FALSE
LH	HOMA_IR	0.164607116681312	FALSE
TRI	COL	0.208405241580984	FALSE
ALT	COL	0.194409532287684	FALSE
PROG	PRL	0.121570926335054	TRUE
PRL	PROG	0.121570926335054	TRUE
FSH	HOMA_B	0.143096537892976	FALSE
HOMA_IR	TRI	0.16029490519084	FALSE
INS	TRI	0.157035530024725	FALSE
GL	COL	0.185776336295969	FALSE
AST	COL	0.144042436014762	FALSE
GL	LDL	0.146508340457081	FALSE
HDL	AST	0.141653753277764	TRUE
HOMA_B	TRI	0.122709320881311	FALSE
HDL	ALT	0.144683842132189	TRUE
HDL	LDL	0.0968509398917494	FALSE
ALT	LDL	0.129665512052855	FALSE
